testcase,result,"(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'OX'))","(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'O0'))","(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'O1'))",comment
MultiSource/Applications/ALAC/decode/alacconvert-decode,--,PASS,PASS,PASS,--
MultiSource/Applications/ALAC/encode/alacconvert-encode,--,PASS,PASS,PASS,--
MultiSource/Applications/Burg/burg,--,PASS,PASS,PASS,--
MultiSource/Applications/ClamAV/clamscan,--,E_FAIL,PASS,PASS,--
MultiSource/Applications/JM/ldecod/ldecod,--,PASS,PASS,PASS,--
MultiSource/Applications/JM/lencod/lencod,--,C_FAIL,C_FAIL,C_FAIL,--
MultiSource/Applications/SIBsim4/SIBsim4,--,PASS,PASS,PASS,--
MultiSource/Applications/SPASS/SPASS,--,PASS,PASS,PASS,--
MultiSource/Applications/aha/aha,--,PASS,PASS,PASS,--
MultiSource/Applications/d/make_dparser,--,PASS,PASS,PASS,--
MultiSource/Applications/hbd/hbd,--,PASS,PASS,PASS,--
MultiSource/Applications/hexxagon/hexxagon,--,PASS,PASS,PASS,--
MultiSource/Applications/kimwitu++/kc,--,PASS,PASS,PASS,--
MultiSource/Applications/lambda-0.1.3/lambda,--,PASS,C_FAIL,E_FAIL,--
MultiSource/Applications/lemon/lemon,--,PASS,PASS,PASS,--
MultiSource/Applications/lua/lua,--,PASS,PASS,PASS,--
MultiSource/Applications/minisat/minisat,--,HOGE,PASS,PASS,--
MultiSource/Applications/obsequi/Obsequi,--,PASS,PASS,PASS,--
MultiSource/Applications/oggenc/oggenc,--,PASS,PASS,PASS,--
MultiSource/Applications/sgefa/sgefa,--,PASS,PASS,PASS,--
MultiSource/Applications/siod/siod,--,PASS,PASS,PASS,--
MultiSource/Applications/spiff/spiff,--,PASS,PASS,PASS,--
MultiSource/Applications/sqlite3/sqlite3,--,PASS,PASS,PASS,--
MultiSource/Applications/treecc/treecc,--,PASS,PASS,PASS,--
MultiSource/Applications/viterbi/viterbi,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/7zip/7zip-benchmark,--,C_FAIL,C_FAIL,C_FAIL,--
MultiSource/Benchmarks/ASCI_Purple/SMG2000/smg2000,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/ASC_Sequoia/AMGmk/AMGmk,--,PASS,PASS,PASS,--
